covariate,HR,HR_lower,HR_upper,p_value
bt_SW,2.616805928182997,2.19522704046768,3.1193462632980413,7.150497315555712e-27
rusher_speed_mean,2.516425141157704,2.3196368956876476,2.729908074329606,2.6018585702839785e-109
closing_velocity,1.9267466937958961,1.795974716350032,2.067040692865682,1.0216158542181427e-74
bt_PP,1.6325767782240264,1.4374004735612855,1.8542549455217658,4.51185964279738e-14
pff_backFieldBlock,1.6016936330096043,1.1931364877626183,2.150150062742789,0.001716923536361328
blocker_accel_mean,1.3557808520276935,1.2046399809781447,1.525884702276279,4.4821064835985346e-07
bt_OTHER,1.3315244610360937,1.024724307713351,1.7301798903295014,0.03213392272096311
blocker_speed_mean,1.215176906478733,1.104177831763938,1.3373343238382613,6.671602786725712e-05
rusher_accel_mean,1.0830516162784836,0.9976959529366316,1.17570969399125,0.05679448701369929
bt_PT,0.9186278390899165,0.7638468595137146,1.104772633729547,0.36729019197696156
separation_at_snap,0.7886257977288874,0.7602361971761334,0.8180755548784183,6.334206917528203e-37
bt_PA,0.7800484625926843,0.6645300503061011,0.9156479886995773,0.0023847362798812824
rusher_speed_max,0.7390525757900689,0.7044391047619697,0.7753668217588464,4.540129536060287e-35
separation_min,0.41625923242173435,0.35793583802510487,0.48408605724520537,5.2828958219896175e-30
